Id,SalePrice
1461,112880.75931775417
1462,159254.84253923036
1463,161490.6928757396
1464,180351.94121494444
1465,223930.88476744996
1466,176082.4316470818
1467,164961.25609787874
1468,168847.05255593243
1469,201822.32451103764
1470,103462.51882869893
1471,212131.31818950453
1472,121271.34228721815
1473,109707.79500539387
1474,163250.3559462241
1475,144711.63757757813
1476,325587.1449264706
1477,266896.1247635478
1478,294678.098487959
1479,284926.6162447104
1480,376929.97007416363
1481,300175.1642264469
1482,235446.2787177817
1483,192546.5955045573
1484,198582.5993527287
1485,192586.36025429607
1486,217483.74205637845
1487,311026.1427058048
1488,268954.5544870573
1489,206735.33320081586
1490,204771.1045219767
1491,215003.32331716
1492,102803.41667494277
1493,180571.01082948435
1494,290948.4538073549
1495,287176.8059635436
1496,224878.78707631922
1497,213884.38086751837
1498,183800.72943207854
1499,183800.72943207854
1500,166592.18393140225
1501,182706.23361189011
1502,176077.68477166578
1503,266107.9719060316
1504,246691.7045703489
1505,225788.01738938215
1506,209298.2107758183
1507,234783.51870180893
1508,193654.98903475158
1509,177494.25255984068
1510,148978.79589334293
1511,147425.81829025035
1512,164202.51708568228
1513,177061.68360000337
1514,152361.5056311138
1515,217991.3330179056
1516,162108.69353106484
1517,145121.48947291306
1518,170891.73470847605
1519,226258.3264402617
1520,126226.90076942393
1521,131051.3130422761
1522,187341.71301276627
1523,104798.48749640814
1524,114142.14517299771
1525,111272.82961533358
1526,112841.45537520807
1527,92799.82408918005
1528,135246.6170545508
1529,142762.75108353744
1530,179683.6007393189
1531,117782.33129089649
1532,82388.14095438016
1533,155780.27879899403
1534,134008.48931778054
1535,142243.27102840433
1536,116173.02636932314
1537,49220.10459879204
1538,186365.57246267382
1539,221590.5778064356
1540,141584.2173832883
1541,155490.0543977507
1542,143065.18074841466
1543,198004.64556318667
1544,65143.12778293404
1545,121645.79106158626
1546,145019.0820918609
1547,128362.64506419351
1548,144351.30823319688
1549,111856.93027739137
1550,137560.89934292852
1551,128535.43267958418
1552,141791.37194484245
1553,138159.47465667131
1554,126362.84762160835
1555,158987.910405631
1556,102949.4086797647
1557,123817.14890119965
1558,111648.86508142759
1559,102135.41472467792
1560,137005.804529139
1561,153942.22595617454
1562,109680.08592633624
1563,105946.72778598142
1564,163197.36806280861
1565,145055.33068136446
1566,222960.82064027
1567,78486.89499266745
1568,198890.41301524988
1569,96925.4594554449
1570,134244.43016533085
1571,117049.8866676825
1572,126936.08067996343
1573,234540.05501559522
1574,145685.761357086
1575,220845.84081870713
1576,232836.70877398242
1577,208024.32022995004
1578,137872.17382122867
1579,136323.8867619193
1580,203513.26705037014
1581,134959.42705035215
1582,123007.34394208291
1583,298450.54773675965
1584,242109.91016129704
1585,160750.86299415145
1586,35486.5623984267
1587,105450.46689312733
1588,133345.99806604674
1589,104814.23422255009
1590,145403.36927198572
1591,76533.09716043873
1592,116841.39766240021
1593,128783.39023528813
1594,134859.68787837145
1595,120098.21833374034
1596,226167.25864601394
1597,180757.8492784326
1598,192817.30004429107
1599,210696.24931277777
1600,216618.93139417688
1601,13787.504192731925
1602,122383.71537132905
1603,83344.63475930227
1604,254860.65684639505
1605,265399.1796434537
1606,168248.45077955932
1607,224940.90549337058
1608,228721.48581467953
1609,205835.31949158377
1610,145188.44800578672
1611,149805.02121952083
1612,171556.17227358036
1613,164363.5929237265
1614,113984.7200902847
1615,74319.0301530505
1616,74319.0301530505
1617,90217.0958974394
1618,109205.51446803508
1619,123537.53212047007
1620,195537.14925863434
1621,142031.13191152463
1622,131417.28227512733
1623,262950.6852454511
1624,209263.00451571477
1625,126608.23535469646
1626,180663.27822835394
1627,180787.0313299604
1628,282354.491347891
1629,192418.24758782997
1630,320556.7175960481
1631,226924.19608761615
1632,258348.62552101247
1633,191198.83625658127
